tilltalsnamn,2014,2015,2016,2017,2018,2019
Labinot,0,0,0,0,0,0
Lachlan,0,0,0,0,0,0
Ladan,0,2,0,2,2,2
Lærke,4,2,4,2,0,0
Laetitia,2,0,0,0,0,0
Lage,7,5,4,5,9,5
Laia,0,0,2,3,2,2
Laian,0,0,3,4,3,5
Laiba,0,2,0,3,0,0
Laila,10,9,11,23,22,17
Lailah,0,0,0,0,2,0
Laimi,0,0,2,0,0,0
Lais,0,0,4,2,0,5
Laith,5,10,19,12,20,16
Lajan,0,0,0,3,0,0
Lajla,5,0,0,0,4,0
Lakisha,0,0,0,0,0,0
Lala,2,0,2,0,0,0
Lale,3,0,0,3,4,3
Laleh,0,2,5,3,6,3
Lalita,0,0,0,0,0,0
Lalo,0,2,0,0,3,0
Lama,2,3,2,0,3,0
Lamar,15,27,32,29,24,17
Lamees,2,0,0,0,0,0
Lamek,0,5,3,5,5,7
Lamia,8,0,0,2,2,3
Lamiek,0,0,0,0,5,0
Lamija,5,6,3,3,2,3
Lamin,2,0,3,4,4,8
Lamine,0,0,0,0,0,0
Lamis,4,7,2,5,6,6
Lamita,0,0,0,0,2,0
Lamitta,0,2,0,0,0,0
Lan,0,0,0,0,0,0
Lana,51,51,51,54,65,52
Lanah,0,0,2,0,0,0
Lance,0,0,0,2,3,2
Lancelot,0,3,5,2,0,5
Landing,3,0,0,0,0,0
Lando,0,2,0,0,0,0
Landon,2,0,3,0,0,3
Lane,0,0,0,0,0,0
Lani,5,3,2,0,2,3
Lania,4,3,2,2,0,0
Lanja,0,0,0,2,3,0
Lanna,0,0,0,0,3,0
Lano,0,2,0,0,0,0
Lanya,4,3,5,6,2,0
Laoi,0,0,0,0,0,0
Laond,0,0,0,0,0,0
Laponia,0,0,0,0,0,0
Lara,64,70,59,58,85,81
Larah,0,0,0,0,0,0
Lare,0,0,0,0,0,0
Laré,0,0,0,0,0,0
Lareen,2,0,3,4,2,4
Laren,0,3,2,0,0,2
Larien,0,0,2,0,0,0
Larin,12,17,15,14,20,16
Larina,0,0,0,2,0,2
Larine,2,0,2,2,2,3
Laris,0,0,0,0,2,0
Larisa,0,0,2,2,0,5
Larissa,3,10,7,10,7,5
Larry,0,0,2,0,2,0
Lars,13,17,17,16,18,27
Larsa,0,0,0,2,0,0
Las,5,0,0,0,0,0
Lass,3,0,0,0,0,0
Lasse,11,10,9,8,14,26
László,2,0,0,0,0,0
Latif,0,0,0,4,0,0
Latifa,3,2,3,2,0,3
Latifah,0,0,0,0,0,0
Latoya,0,0,0,0,0,0
Laui,0,0,2,0,0,0
Lauin,0,2,0,0,0,0
Lauma,0,0,0,0,0,0
Laura,113,127,106,104,110,101
Lauren,0,0,2,0,2,0
Laurence,0,2,0,0,2,0
Laurens,0,0,2,0,0,0
Laurent,6,6,0,4,0,3
Laureta,0,0,0,0,0,0
Lauri,0,2,3,3,0,2
Laurie,0,0,0,2,0,0
Laurina,0,2,0,0,0,2
Laurits,0,0,0,0,0,0
Lauritz,0,0,0,0,4,0
Lautaro,0,0,0,0,0,0
Lava,11,11,14,17,8,11
Lawa,0,0,0,0,0,0
Lavan,0,0,0,3,0,0
Lawan,2,0,2,5,0,0
Lavand,0,0,0,2,2,5
Lawand,2,2,3,5,2,0
Lavanya,0,2,0,0,0,0
Lave,5,4,3,3,4,4
Lawe,0,0,0,2,0,0
Lawek,2,0,0,0,0,0
Lawen,0,0,0,0,0,0
Lawend,2,0,0,0,0,0
Lavendel,0,0,0,0,2,0
Lawi,5,2,3,4,6,6
Lavin,16,14,18,18,10,15
Lawin,6,4,5,8,4,3
Lavina,0,3,4,4,3,0
Lavinia,5,3,6,6,9,0
Lawrence,3,2,5,5,3,0
Lawy,0,0,0,0,0,0
Laya,6,2,3,0,8,16
Layal,3,2,5,4,8,2
Layan,15,28,33,47,48,68
Layana,0,0,3,0,3,3
Layla,4,7,6,11,6,9
Layth,0,2,0,5,0,4
Layton,0,0,0,2,0,2
Lazar,3,6,5,4,5,10
Lazaros,0,0,2,0,0,2
Lazarus,0,0,0,0,2,0
Lazo,0,0,0,0,0,0
Lea,162,164,171,141,133,169
Léa,4,6,3,3,3,9
Leah,190,228,243,288,226,255
Léah,0,0,3,0,0,3
Leam,2,0,2,2,0,0
Lean,0,0,0,0,0,3
Leana,0,4,6,5,3,6
Leander,6,4,5,4,6,5
Leandra,7,7,15,12,9,21
Leandro,20,23,25,27,28,30
Leandros,0,2,0,0,5,2
Leanna,2,0,6,0,0,2
Leanne,0,2,0,0,0,0
Leart,9,5,8,8,6,5
Learta,0,0,0,5,0,2
Lebario,0,0,0,0,2,0
Ledian,2,3,0,2,0,0
Ledion,4,7,9,11,8,2
Lediona,2,0,0,0,0,0
Ledri,0,2,4,3,3,3
Lee,10,15,13,17,5,8
Leea,0,0,0,0,2,2
Leeam,0,0,0,2,0,0
Leela,0,0,0,0,0,0
Leelo,0,0,0,0,0,0
Leeloo,2,2,2,0,2,0
Leen,9,14,22,31,36,27
Leena,0,0,2,0,0,2
Leenah,0,0,0,2,0,0
Leeon,2,0,0,0,0,2
Leeroy,0,0,0,2,0,0
Leevi,0,6,5,5,7,8
Legolas,0,0,0,0,0,2
Lehat,0,0,0,2,3,0
Leia,178,150,173,194,172,176
Leiah,11,13,6,9,7,2
Leiali,2,0,0,0,0,0
Leian,0,2,0,0,0,2
Leif,4,5,5,3,0,7
Leigh,0,0,0,0,0,0
Leiha,0,0,0,0,0,0
Leija,15,10,15,15,19,10
Leijah,0,2,0,2,0,0
Leila,40,27,34,39,31,31
Leilah,0,0,0,2,0,0
Leilani,4,0,2,0,2,0
Leili,0,0,0,2,0,0
Leily,0,0,0,0,2,0
Lein,0,0,0,2,0,0
Leire,0,0,0,2,0,0
Leis,0,2,0,2,2,0
Leith,7,2,3,7,4,0
Leiton,0,0,0,0,0,0
Leiya,0,2,2,0,4,2
Leja,7,9,10,5,7,8
Lejah,0,0,0,2,0,0
Lejla,10,23,22,19,16,23
Lejna,0,2,0,0,0,0
Lejs,2,0,0,0,0,0
Lelia,0,2,0,0,0,0
Lema,0,0,0,0,0,0
Lemar,0,3,3,0,5,0
Lemis,0,0,2,0,0,0
Lemmy,0,0,4,7,3,7
Lémon,0,0,0,0,0,0
Lemoni,0,0,0,0,0,0
Lemonie,0,2,5,2,0,0
Lemuel,0,0,0,3,0,3
Lena,37,48,43,33,30,38
Lenart,0,0,0,2,0,0
Lenda,0,0,0,2,0,0
Lendi,2,0,0,0,0,0
Lendrit,0,0,0,0,0,0
Lene,0,0,2,0,0,0
Lenea,0,0,2,0,0,0
Leni,0,2,0,0,0,2
Lenja,0,0,0,0,0,0
Lennart,6,5,5,2,3,4
Lennea,0,0,0,0,0,0
Lenni,0,2,0,3,0,0
Lennie,3,0,0,0,2,0
Lennon,20,32,30,21,29,20
Lennox,51,64,95,83,66,64
Lenny,3,3,3,2,3,3
Lenora,0,0,0,0,2,3
Lenore,3,4,2,2,0,3
Lenox,0,3,0,0,2,0
Lenton,0,0,0,3,0,0
Lenya,0,0,0,0,0,0
Leo,563,543,535,543,521,546
Léo,0,2,0,0,2,2
Leoart,0,0,3,0,0,0
Leoh,0,0,2,4,0,0
Leon,395,446,466,403,441,429
León,17,14,9,10,21,14
Léon,25,40,40,34,35,54
Leona,80,97,109,83,94,92
Léona,0,0,2,2,2,0
Leonard,46,58,57,74,77,52
Léonard,0,0,0,0,0,0
Leonarda,0,0,0,0,0,0
Leonardo,28,51,49,32,48,29
Leonas,0,0,0,0,0,0
Leone,2,4,3,3,0,4
Leoné,2,0,0,0,0,0
Leonel,36,32,36,51,53,59
Leonél,0,0,0,0,0,0
Léonel,0,0,0,0,2,0
Leonell,3,10,7,4,9,8
Leonella,3,5,0,4,2,0
Leonelle,0,0,0,2,5,4
Leonesa,0,0,0,0,0,0
Leonhard,0,0,0,0,0,2
Leoni,6,4,6,4,13,5
Leonid,0,3,0,3,6,3
Leonida,0,0,0,0,0,0
Leonidas,10,7,25,20,15,25
Leonides,0,0,0,0,0,0
Leonie,22,28,25,27,32,36
Léonie,6,2,4,6,6,8
Leonis,2,2,2,0,0,2
Leonit,4,0,0,0,2,2
Leonita,3,2,2,2,2,2
Leonor,2,0,6,3,3,5
Leonora,35,43,45,42,50,55
Leonore,7,16,30,41,51,44
Leontin,0,0,2,0,0,2
Leontina,0,0,0,3,0,0
Leontine,0,2,4,3,0,2
Leopold,33,19,28,23,15,30
Leor,0,0,0,0,0,0
Leora,0,2,3,3,5,0
Leotrim,2,3,0,0,0,0
Lerke,0,0,0,0,0,0
Leroy,0,0,2,2,3,4
Leslie,0,4,4,3,5,4
Lester,0,2,0,0,0,0
Leticia,0,6,3,3,4,3
Letizia,2,0,2,0,0,0
Leutrim,2,0,0,0,0,0
Lev,2,2,3,2,0,2
Lewan,2,0,2,3,0,0
Lewand,0,0,0,0,0,0
Lewend,0,0,0,0,0,2
Levent,0,2,0,0,0,0
Levente,0,0,0,2,0,0
Lewhat,0,0,0,0,0,0
Levi,108,130,112,125,163,167
Lewi,9,8,6,8,6,14
Lévi,0,0,0,2,0,0
Levida,0,2,0,0,0,0
Levin,9,6,8,4,2,6
Lewin,0,2,4,0,0,0
Levina,5,8,6,4,8,6
Lewina,0,0,0,2,0,0
Levine,0,0,0,0,0,0
Levis,14,16,12,11,13,20
Lewis,9,8,13,12,16,12
Levisia,2,0,0,0,0,0
Lewisia,3,2,0,2,2,0
Levon,4,2,0,5,6,6
Levón,0,0,0,0,2,0
Lewon,0,0,0,0,0,0
Levy,0,0,0,0,0,0
Lex,23,18,23,21,28,22
Lexi,9,15,16,22,20,30
Lexia,0,0,0,2,0,0
Lexian,0,0,0,2,0,0
Lexie,32,40,43,37,53,58
Lexus,8,4,4,5,6,8
Leya,6,17,26,22,18,16
Leyah,0,3,4,2,4,2
Leyal,0,0,0,0,0,0
Leyan,0,2,3,3,2,3
Leyana,0,2,0,0,0,0
Leyla,10,19,18,25,28,32
Leylah,0,0,0,0,0,0
Leyon,2,0,0,0,0,0
Leyona,0,0,0,0,0,0
Leyton,2,2,2,0,0,0
Lezan,0,0,0,0,0,0
Lhea,0,0,0,0,0,0
Lheo,0,0,0,0,0,0
Li,33,35,21,19,20,26
Lia,49,45,42,26,39,27
Liah,9,9,7,3,3,5
Liahs,0,2,0,0,0,0
Liam,725,750,788,823,830,759
Liamo,0,0,0,0,2,0
Lian,12,18,22,23,33,33
Liana,16,21,33,26,37,34
Liann,0,0,0,0,0,0
Lianna,0,0,2,0,4,5
Liara,5,0,0,4,3,3
Liard,0,0,0,0,2,0
Lias,10,17,18,52,141,119
Liaz,4,2,3,3,5,7
Liba,0,0,0,0,0,0
Libaan,0,0,0,0,0,0
Liban,4,2,2,0,3,2
Libra,0,2,0,0,0,0
Liburn,3,0,0,0,0,0
Licia,0,2,0,0,0,0
Lida,0,0,2,0,0,0
Lidia,5,5,4,12,3,6
Lidija,0,0,0,0,2,0
Lidya,4,5,4,6,11,8
Liel,0,0,0,0,2,0
Lien,0,0,0,0,0,0
Liesel,0,0,0,0,3,2
Liesl,0,0,0,3,0,0
Lif,0,0,0,0,0,0
Lihem,0,2,0,0,0,0
Lii,7,0,4,7,0,0
Liia,0,0,0,0,0,0
Liibaan,0,0,2,0,0,0
Liiban,2,0,0,0,2,0
Liin,0,0,2,0,0,0
Liina,0,0,0,0,0,0
Liion,0,0,0,2,0,0
Liisa,0,0,0,0,2,0
Liiv,0,0,0,2,0,0
Lija,0,0,0,0,2,0
Lijana,4,4,2,2,3,4
Lijon,0,0,0,2,5,2
Lila,2,0,0,4,0,3
Lilah,0,0,0,0,0,0
Lilas,0,2,4,4,14,10
Lilav,0,0,2,4,5,0
Lili,8,2,7,4,7,7
Lilia,12,13,13,15,7,11
Lilian,42,35,37,50,40,53
Liliana,7,14,14,12,10,9
Liliane,0,0,0,0,3,0
Lilianna,0,0,2,3,0,2
Lilianne,0,0,0,0,0,0
Lilie,0,0,0,0,2,0
Lilit,2,0,0,0,3,2
Lilith,9,8,7,7,9,3
Lilja,55,62,55,54,60,57
Liljan,0,0,0,4,0,4
Liljana,0,0,0,2,0,0
Lill,8,2,2,11,5,10
Lilla,0,0,0,2,0,0
Lillan,0,0,0,0,0,0
Lillebror,0,2,0,0,0,0
Lillemor,3,4,2,5,6,6
Lillevi,0,0,0,2,0,0
Lilli,10,6,8,10,11,5
Lillia,0,0,0,0,0,0
Lillian,8,7,11,6,15,17
Lilliana,0,0,0,0,2,0
Lillie,31,14,11,25,20,34
Lillit,0,0,0,0,0,0
Lilly,350,360,384,320,361,295
Lilly-Anne,2,0,0,0,0,0
Lilly-Belle,0,0,0,2,0,0
Lilly-Lo,0,0,0,3,0,3
Lilly-Rose,0,2,2,0,0,0
Lilo,16,16,18,14,16,21
Liloo,0,0,2,0,0,0
Lilou,5,5,5,5,8,7
Lily,247,231,279,217,231,220
Lily Rose,0,0,2,0,0,0
Lilya,2,3,3,7,7,4
Lilyan,0,0,2,0,2,0
Lily-Grace,0,0,0,0,0,0
Lily-Lo,2,0,0,0,0,0
Lily-Marie,0,0,0,0,0,0
Lily-Rose,0,0,0,3,2,3
Lima,5,8,3,4,7,5
Limar,7,4,0,3,3,13
Limor,0,0,0,0,0,0
Lin,16,15,25,28,13,16
Lina,123,118,111,110,111,113
Linah,0,0,0,2,0,0
Linaz,2,0,0,0,0,0
Lincoln,9,12,11,11,12,13
Lincon,0,0,0,0,0,2
Lind,0,0,0,0,0,0
Linda,23,12,21,19,28,23
Linde,0,0,0,2,0,0
Lindon,0,0,0,3,2,0
Lindor,0,2,0,0,0,0
Lindrit,0,0,0,0,0,0
Lindsay,0,0,2,0,0,0
Lindsey,0,0,0,0,0,2
Lindy,2,0,0,0,0,0
Line,36,34,42,38,37,31
Linea,2,4,3,3,2,3
Linéa,0,0,0,0,2,0
Linelle,0,0,0,2,4,3
Line-Lo,0,0,0,2,0,0
Linette,0,0,2,0,0,0
Linh,0,0,0,0,0,0
Lini,0,0,0,0,0,0
Link,2,3,9,13,10,5
Linn,147,116,139,97,90,76
Linna,0,0,3,0,0,0
Linnar,0,0,2,0,0,0
Linne,0,0,0,0,0,0
Linné,0,0,3,0,0,0
Linnea,328,303,277,228,164,111
Linneá,0,0,0,0,0,0
Linnéa,262,200,194,172,224,180
Linnèa,0,0,0,0,0,0
Linnéah,0,2,0,0,0,0
Linni,0,0,0,0,0,0
Linnie,0,0,2,0,0,0
Linny,2,0,0,0,0,0
Lino,4,5,2,4,0,0
Linor,0,0,0,0,2,0
Linora,0,0,0,0,0,0
Linova,0,0,2,0,0,0
Linton,6,3,6,0,3,17
Linus,208,155,126,128,84,104
Linuz,0,2,0,2,0,0
Lio,9,3,5,5,11,7
Lion,47,46,56,61,81,63
Liona,8,2,0,8,4,2
Lionel,58,61,73,55,66,78
Lionell,2,0,3,3,3,8
Lionella,3,0,0,2,0,2
Lionelle,0,0,0,2,0,0
Lionora,0,2,0,0,0,0
Lior,0,4,4,4,4,2
Liora,2,2,0,8,5,11
Lipton,2,0,0,0,0,0
Lira,0,5,2,4,2,2
Liria,0,0,2,0,0,2
Liridon,0,2,0,0,0,0
Lirika,0,0,0,0,0,0
Lirjon,0,0,0,0,0,0
Liron,0,0,0,0,0,0
Lisa,141,110,107,86,75,74
Lisa Marie,0,0,0,0,0,0
Lisabet,0,0,0,0,0,0
Lisabeth,0,2,0,0,0,0
Lisa-Marie,0,3,0,0,0,0
Lisandro,0,3,0,2,2,0
Lisbet,0,0,0,0,0,0
Lisbeth,4,0,0,3,4,0
Lise,5,4,7,2,3,3
Lisel,0,0,0,0,0,0
Liselott,0,0,0,0,0,0
Liselotte,0,0,0,0,0,0
Lisen,24,30,28,29,16,19
Lisette,2,2,2,5,4,3
Lissandra,0,0,0,0,0,0
Lissette,0,0,0,0,0,0
Lissie,2,2,2,2,3,2
Liston,0,0,0,2,0,0
Lita,0,0,0,0,0,0
Lithea,3,2,0,4,2,4
Lithéa,0,0,0,0,0,0
Liutauras,0,0,0,2,0,0
Liv,254,250,282,257,232,242
Liw,5,9,4,3,6,2
Liva,6,7,8,6,11,13
Liwa,0,0,0,0,0,4
Livar,0,0,0,0,0,0
Live,0,0,2,2,0,0
Liv-Grete,0,0,0,0,0,0
Livh,0,0,0,0,0,0
Livi,0,0,0,0,2,0
Livia,204,226,239,249,218,231
Liwia,2,0,10,5,6,6
Livie,0,0,2,0,0,0
Livija,0,0,0,0,0,0
Livio,0,2,0,2,0,0
Livli,0,0,0,0,2,0
Livly,2,0,0,0,0,0
Livy,0,0,0,0,3,0
Livya,0,0,2,0,0,0
Liya,7,10,4,7,12,20
Liyah,0,0,0,0,0,0
Liyan,0,3,0,0,0,0
Liyana,3,9,12,10,27,49
Liyat,0,0,0,2,0,2
Liyon,0,0,2,0,2,0
Liz,2,0,5,0,3,0
Liza,8,7,6,6,5,6
Lizen,0,0,0,2,0,0
Lizette,3,7,6,3,6,2
Lizzie,8,6,5,5,3,8
Lizzy,2,2,0,0,2,3
Ljuva,0,0,0,0,0,0
Lloyd,0,3,0,0,2,0
Lluvia,0,0,0,0,0,0
Lmar,0,0,3,2,0,5
Lo,118,167,158,189,193,216
Loa,43,37,37,36,50,54
Lóa,0,0,0,2,0,0
Loah,5,8,7,15,7,6
Loai,0,2,0,0,0,0
Loana,0,2,0,0,0,0
Loant,0,0,0,0,0,0
Loay,0,0,3,2,0,0
Lobelia,0,2,0,0,0,0
Locke,0,0,0,0,0,0
Loe,5,4,10,9,11,8
Loella,2,0,0,0,0,0
Loelle,2,3,0,2,2,2
Logan,12,13,10,19,15,17
Loi,0,2,0,0,0,0
Loic,0,0,0,0,0,0
Loïc,2,0,0,0,2,0
Loie,0,0,2,0,0,0
Lois,4,3,5,0,2,2
Loisa,2,0,0,2,0,0
Lojain,2,2,2,2,3,5
Loka,3,0,0,0,0,0
Loke,284,297,271,265,248,254
Loki,3,2,0,2,2,6
Lokman,0,0,0,2,0,0
Lola,17,15,12,8,9,7
Lolav,0,0,0,0,0,0
Lolia,0,3,0,0,3,4
Lolita,0,0,0,0,0,0
Lollo,0,0,0,0,0,0
Lom,0,0,0,0,2,0
Lona,3,2,2,0,0,2
London,2,9,0,0,0,3
Lone,5,6,7,0,13,7
Lonik,0,0,0,0,0,0
Loo,0,4,2,0,2,2
Loova,0,0,0,0,3,0
Loqman,0,0,0,0,0,0
Lora,0,0,0,4,0,0
Loran,4,5,8,3,0,4
Lorans,0,0,2,3,3,0
Loreen,2,3,0,3,2,2
Lorelei,0,0,0,0,0,0
Lorelle,0,0,0,0,0,0
Loren,0,0,0,2,2,4
Lorén,0,0,2,0,0,0
Lorena,13,10,13,12,10,17
Lorenc,2,0,0,0,0,0
Lorens,0,5,3,4,6,3
Lorent,10,7,8,8,6,7
Lorenta,0,0,0,0,0,0
Lorents,0,2,0,0,3,2
Lorentz,5,11,10,10,20,18
Lorenz,0,4,2,0,5,3
Lorenza,0,0,0,0,0,0
Lorenzo,15,10,12,20,11,17
Loresa,3,2,3,0,3,0
Loreta,0,0,2,0,0,0
Lori,2,0,2,0,0,2
Lorian,3,5,11,6,5,6
Loriana,0,0,3,0,0,0
Lorik,19,22,17,22,13,12
Lorin,14,19,14,12,17,25
Lorina,2,2,2,2,2,0
Lorine,0,0,0,2,0,0
Loris,0,5,0,4,6,5
Lorisa,0,0,0,0,0,2
Lorita,0,0,0,0,0,0
Loritta,0,0,2,0,0,0
Lorraine,0,0,0,0,0,0
Losin,0,0,2,0,0,0
Lothar,2,2,0,0,0,0
Lotta,14,16,22,17,19,13
Lotte,0,2,0,0,0,0
Lotten,5,3,3,5,6,6
Lotti,0,0,2,0,0,0
Lottie,2,0,3,3,3,5
Lotus,6,6,5,8,7,7
Lou,27,42,41,41,52,74
Louella,0,0,0,0,0,3
Loui,131,177,196,197,188,232
Louice,0,0,0,0,0,0
Louie,98,114,153,147,164,174
Louis,27,15,14,27,32,35
Louisa,10,13,16,10,11,13
Louise,53,49,52,49,33,37
Louisé,0,0,0,0,0,0
Louiza,0,0,0,0,0,0
Louize,0,0,0,0,0,0
Loukia,0,0,0,0,0,0
Louna,0,0,3,0,3,0
Lourd,2,0,0,0,0,0
Lourdes,0,0,0,0,2,0
Lousin,0,0,0,0,0,0
Louva,2,0,0,0,0,2
Louvisa,0,0,0,2,0,0
Lova,203,209,179,228,223,246
Lowa,52,55,41,62,56,53
Lovah,0,3,0,0,0,0
Lovalee,2,4,4,0,0,0
Lova-Lee,0,0,0,0,0,0
Lovali,0,2,3,0,2,0
Lova-Li,2,3,0,2,2,0
Lovalie,3,4,3,2,0,5
Lovan,2,3,0,3,2,0
Love,247,328,250,240,228,226
Lowe,77,113,100,85,92,126
Loveli,0,4,2,0,2,0
Love-Li,0,0,0,0,0,0
Lovelia,25,24,25,27,31,40
Lovélia,0,2,0,0,0,0
Lowelia,0,0,4,0,3,0
Lowell,0,0,0,0,2,0
Lovely,0,0,0,0,0,0
Lovi,14,4,13,21,22,13
Lowi,0,0,0,0,0,0
Lovian,0,0,0,0,0,0
Lovie,3,0,2,2,3,4
Loviisa,2,0,0,0,0,0
Lovin,3,3,0,2,7,4
Lowin,0,0,0,0,0,0
Lovina,7,6,4,9,4,4
Lowina,2,0,0,4,0,0
Lovine,0,0,0,0,0,0
Lovis,134,146,149,127,128,146
Lowis,4,4,4,4,2,6
Lovisa,254,220,275,178,170,180
Lowisa,4,3,6,3,5,5
Loviza,2,0,0,2,2,2
Lowiza,0,0,0,0,0,0
Lovro,0,2,0,0,0,0
Lua,0,0,0,0,0,0
Luan,10,10,8,15,15,11
Luana,3,4,2,4,7,5
Luanna,2,0,0,0,0,0
Luay,0,0,0,0,0,0
Lubna,0,0,0,0,2,0
Luc,2,0,0,0,0,2
Luca,16,12,16,24,22,31
Lucas,520,496,501,480,429,456
Lucaz,6,10,15,6,0,7
Lucia,18,22,17,25,22,20
Lucía,0,0,0,0,0,0
Lucian,0,4,2,0,2,0
Luciana,3,2,0,5,0,4
Luciano,0,3,0,3,0,4
Lucie,0,6,4,4,2,6
Lucien,2,2,0,0,0,0
Lucifer,0,0,3,2,2,0
Lucille,2,0,3,0,3,0
Lucin,0,0,0,0,0,0
Lucinda,3,2,0,2,3,0
Lucine,0,0,0,0,0,0
Lucius,0,3,0,0,3,4
Lucja,0,3,0,0,0,0
Lucky,0,0,0,0,0,0
Lucy,19,28,30,20,29,27
Ludde,3,7,7,6,3,10
Ludvig,386,386,365,329,350,327
Ludwig,193,154,199,181,147,177
Ludwigh,0,0,0,0,0,0
Ludvik,0,2,0,0,0,0
Ludwik,0,2,0,2,0,0
Luella,3,0,0,0,0,0
Lugman,0,0,0,0,0,0
Luigi,0,0,0,0,0,0
Luis,4,3,3,5,5,2
Luis Miguel,0,0,0,0,0,0
Luisa,0,5,2,6,4,2
Luise,0,0,0,0,0,0
Luiza,0,3,3,3,0,0
Lujain,6,2,2,4,7,6
Luka,12,23,21,19,25,35
Lukas,323,292,346,305,288,300
Lukasz,0,0,0,0,0,0
Lukaz,7,4,0,0,4,3
Luke,17,9,20,16,10,5
Lukhman,0,2,0,0,0,0
Lukman,0,0,0,2,0,0
Lukné,0,0,0,0,0,0
Lul,0,0,0,0,0,0
Lula,0,2,0,0,0,0
Lulia,2,0,0,2,2,11
Luliana,0,0,3,0,0,0
Luliya,0,0,0,0,2,0
Luliyana,0,0,0,0,0,0
Lulu,0,0,0,0,2,3
Lulya,0,0,3,4,2,0
Luma,0,0,0,0,0,0
Lumi,9,8,10,3,11,19
Lumina,0,0,0,0,2,2
Luna,130,136,207,257,333,340
Lunabelle,0,0,0,0,3,2
Lunah,0,0,2,0,0,0
Luna-Li,0,0,0,0,2,0
Luni,0,0,0,0,0,0
Luqas,0,0,0,0,0,0
Luqmaan,0,0,0,3,2,0
Luqman,11,5,4,11,10,4
Lutfi,0,0,0,0,2,0
Luukas,0,0,0,0,0,0
Luul,0,0,3,0,0,2
Luva,2,0,2,0,2,2
Luwam,0,0,0,0,2,0
Luvin,0,0,2,0,0,0
Lux,0,2,0,2,0,2
Luz,0,2,0,2,0,0
Luzia,0,0,0,0,0,0
Ly,0,0,0,2,0,0
Lya,3,0,2,0,0,6
Lyan,0,2,2,3,3,4
Lyana,0,0,0,3,0,5
Lyanna,0,2,0,2,4,4
Lycka,5,6,5,9,4,3
Lycke,14,13,13,14,20,5
Lydia,44,45,49,48,46,47
Lyke,0,0,0,2,0,0
Lykka,5,6,0,3,7,6
Lykke,155,177,212,212,220,249
Lykkeli,2,0,0,0,0,0
Lykke-Li,0,0,0,2,0,0
Lykke-Lii,0,0,0,0,0,0
Lykke-Louise,0,0,0,0,0,0
Lyndon,0,3,2,0,0,0
Lynette,2,0,0,0,0,0
Lynn,2,3,4,5,3,3
Lyon,4,3,3,0,7,9
Lyra,3,3,6,4,9,7
Lysander,0,0,2,0,0,0
Lärke,2,0,0,3,0,3
Ma´rton,0,0,0,0,0,0
Maahir,7,5,6,2,2,5
Maaida,0,5,3,0,0,2
Maajid,0,0,0,0,4,0
Maalik,0,0,0,0,2,0
Maariya,0,0,0,0,0,0
Maaz,0,0,0,0,2,4
Mabel,0,0,0,0,0,2
Mabelle,2,0,0,0,0,0
Mabruka,2,0,0,0,0,0
Mac,0,0,5,0,2,0
Maceo,0,0,0,0,0,0
Maci,0,0,0,0,2,0
Maciej,0,0,0,2,0,0
Mackenzie,2,2,2,0,2,0
Macy,0,3,0,0,0,0
Madar,0,0,2,0,0,0
Maddalena,0,0,0,0,0,0
Maddie,0,0,0,0,0,0
Maddox,9,9,8,10,10,7
Madeleine,19,32,23,19,21,13
Madelen,2,0,0,3,2,0
Madelene,4,3,0,2,0,0
Madeléne,0,0,0,0,0,0
Madelia,2,0,0,0,0,0
Madelina,0,0,0,0,0,0
Madeline,0,2,0,0,0,0
Madelyn,0,2,0,2,0,0
Madi,0,0,0,0,0,0
Madicken,13,13,26,12,18,10
Madiha,0,0,2,0,0,0
Madina,9,8,6,6,4,2
Madison,4,2,7,4,3,5
Madlen,0,0,0,0,0,0
Madlin,2,0,0,0,0,0
Madonna,0,0,2,0,0,0
Mads,0,0,0,0,0,0
Mae,0,0,0,0,2,0
Mael,0,0,2,0,0,0
Maël,0,0,0,2,0,3
Maëlle,0,0,0,0,0,0
Maëlys,0,0,0,0,0,0
Maeve,0,0,2,0,0,0
Mafalda,0,0,0,0,0,0
Magd,0,0,2,0,0,3
Magda,12,10,16,12,14,14
Magdalena,10,12,14,18,8,9
Maggan,0,2,0,0,0,0
Maggi,2,0,0,0,0,0
Maggie,10,6,6,14,17,12
Magna,2,0,0,0,0,0
Magne,5,4,0,5,2,0
Magni,0,0,0,0,0,0
Magnolia,4,0,2,0,3,0
Magnus,13,12,6,9,8,9
Maha,4,4,4,6,3,3
Mahad,8,6,5,4,4,6
Maham,0,0,2,0,0,0
Mahamad,3,0,2,0,0,0
Mahamed,23,15,15,11,9,8
Mahamedamin,0,0,2,0,0,0
Mahammed,0,0,0,0,0,0
Mahamoud,0,0,0,0,0,2
Mahamud,4,6,0,0,0,4
Mahamuud,0,0,0,0,2,0
Mahan,0,2,2,2,3,4
Mahd,2,0,0,0,0,0
Mahde,0,0,0,0,0,0
Mahdi,17,24,18,19,14,18
Mahdia,2,0,0,0,0,2
Mahdiya,0,2,0,2,0,0
Mahdiyar,0,0,0,0,2,0
Maheen,0,0,2,2,0,0
Mahek,0,0,0,0,0,0
Maher,6,9,15,17,9,17
Mahi,0,0,0,0,0,0
Mahin,0,0,0,0,0,2
Mahir,6,17,18,17,23,22
Mahira,0,0,2,0,3,2
Mahla,0,0,0,2,0,0
Mahlet,0,0,0,0,0,0
Mahmed,0,0,0,0,0,0
Mahmmod,0,0,0,0,0,0
Mahmod,0,0,2,6,4,2
